Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
316	17177.9	17027.6	19.6	0	159	13	1	879	0	0	1
364	17186.6	17006.4	19.3	0	150.1	15	1	533	0	0	1
1226	17958.2	16911.4	18.1	0	138.9	54	1	826	0	0	1
3031	17333.9	16936.7	26.4	0	151.5	155	1	274	0	0	1
3784	17614.7	16433.4	13.2	0	187.9	198	1	1064	0	0	1
3800	17669	16411.6	16.3	0	175.2	199	1	652	0	0	1
4044	17556.8	16480.8	23.5	0	168.1	212	1	383	0	0	1
5122	17458.5	17244.1	22.5	0	191.1	280	1	435	0	0	1
5139	17438.3	17246.2	21	0	180.5	281	1	444	0	0	1
5161	17451.5	17286.6	29.3	0	152.8	282	1	293	0	0	1
7576	17720.1	16429.4	17.1	0	166.1	455	1	472	0	0	1
7623	17686.1	16446.7	15.7	0	192.3	459	1	594	0	0	1
8546	17289.6	16656.7	17.7	0	192.3	526	1	687	0	0	1
8653	17837.7	16875.2	14.9	0	150	534	1	431	0	0	1
9152	17973.8	16975.3	17.7	0	149.6	571	1	401	0	0	1
9406	17977.7	16845.2	9.7	0	165.8	591	1	1402	0	0	1
10241	17843.3	16920.2	11.8	0	149.2	656	1	578	0	0	1
11230	17968.2	16996.5	11.3	0	144.1	729	1	617	0	0	1
11959	17848.6	16856.2	14.9	0	168.6	786	1	687	0	0	1
11972	17870.9	16879.3	13	0	150.2	787	1	564	0	0	1
12466	17685.1	16994.6	24.1	0	135.9	823	1	189	0	0	1
12495	17707.6	16977	11.6	0	144	824	1	612	0	0	1
14103	17183.9	17156.9	14.9	0	147.1	951	1	408	0	0	1
14969	17532.8	16472.1	11.7	0	172.8	1019	1	791	0	0	1
16620	17844.2	16857.1	12.2	0	173.6	1143	1	719	0	0	1
17756	17315	16640.9	16.9	0	167.3	1233	1	482	0	0	1
18305	17947.6	16973.9	28.3	0	127	1275	1	172	0	0	1
19512	17358.2	16859.7	31.1	0	145.8	1368	1	234	0	0	1
20280	17166.7	17140.8	18.5	0	162.4	1428	1	450	0	0	1
20909	17695.1	16997.4	11.6	0	144.2	1475	1	559	0	0	1
21245	17861.5	16874.7	7	0	143.3	1501	1	1125	0	0	1
23360	17800.2	16933.7	23	0	175.5	1666	1	277	0	0	1
26599	17854.8	16900	18.1	0	128.9	1924	1	233	0	0	1
28353	17922	16931.2	13	0	182	2064	1	1098	0	0	1
28361	17943.1	16902.9	15.9	0	183.3	2065	1	495	0	0	1
29163	17874.3	16881.5	12.2	0	157.2	2128	1	538	0	0	1
30127	17297.5	16678	33	0	151.4	2204	1	194	0	0	1
32273	17870.9	16881.4	6	0	153.6	2350	1	3304	0	0	1
32393	17849.1	16861.2	17.6	0	144.7	2355	1	668	0	0	1
33747	17348.2	16934.4	16.5	0	191.7	2410	1	1298	0	0	1
35506	17768.2	17160.6	35.5	0	180.4	2487	1	280	0	0	1
35943	17620.2	16408.8	29.2	0	177.3	2506	1	338	0	0	1
36112	17704.9	16991.1	15.5	0	138.2	2514	1	427	0	0	1
36436	17837.7	16851.8	5.8	0	133.9	2528	1	1462	0	0	1
36457	17833.5	16873.4	14	0	120	2529	1	382	0	0	1
36525	17833.4	16851.9	7.2	0	133.4	2532	1	1166	0	0	1
37238	17869.2	16862.4	13	0	149.5	2565	1	557	0	0	1
39067	17166.1	16897.9	14.4	0	183.5	2657	1	788	0	0	1
39575	17137.6	16930.1	19.2	0	188.7	2684	1	770	0	0	1
40223	17185.1	17007.8	10.5	0	167.2	2714	1	975	0	0	1
40264	17864.9	16956.1	21.4	0	156.3	2717	1	271	0	0	1
40877	17280.8	16633.5	19.5	0	187.4	2749	1	589	0	0	1
42300	17852.2	16872.2	22.2	0	160.2	2818	1	372	0	0	1
42972	17946.4	16948.1	10.6	0	154.3	2852	1	1093	0	0	1
42992	17900.8	16934.2	16.1	0	144.1	2853	1	1052	0	0	1
44323	17638	16358.9	10.1	0	158.8	2924	1	1026	0	0	1
45657	18045.9	16883.6	22.2	0	173.4	2993	1	345	0	0	1
45766	17868.8	16898.7	21.5	0	149.7	2998	1	336	0	0	1
46130	17633.7	16355.8	17.5	0	155	3017	1	419	0	0	1
46491	17956.1	16937.1	12.3	0	152.3	3036	1	722	0	0	1
47047	17647	16359.6	9.8	0	175.4	3066	1	1111	0	0	1
47214	17641.6	16351.8	13.2	0	184.2	3075	1	1140	0	0	1
48112	17266.5	16637.2	11.1	0	147.8	3127	1	597	0	0	1
48126	17221.1	16630.2	25.2	0	124.2	3128	1	181	0	0	1
48624	17933.9	16942.3	33.9	0	136.3	3158	1	150	0	0	1
48657	17950	16915.3	5	0	142.1	3159	1	2133	0	0	1
48785	17615.7	16359.4	15.1	0	174.1	3165	1	885	0	0	1
48848	17837.8	16834.3	28	0	141.9	3169	1	281	0	0	1
49784	17649.5	16372.4	11	0	168.6	3220	1	975	0	0	1
50401	17254.8	16597.4	18.1	0	150.1	3255	1	324	0	0	1
51100	17658.6	16350	13.7	0	196	3294	1	966	0	0	1
51358	17662.5	16359.6	18.5	0	159.1	3308	1	435	0	0	1
51373	17637.6	16363.4	10.6	0	176.6	3309	1	1086	0	0	1
51932	17527.6	16476.2	18.7	0	176.7	3344	1	492	0	0	1
51958	17552.5	16480.2	18.3	0	177.8	3346	1	412	0	0	1
52326	17864.7	16860.2	22.3	0	146.1	3366	1	197	0	0	1
52580	17648.4	16352.8	22.5	0	188.4	3381	1	373	0	0	1
53403	17636.8	16381.6	13.2	0	167.1	3427	1	576	0	0	1
53490	17997.3	16920	26.4	0	112.5	3432	1	91	0	0	1
53543	17904.2	16904.3	6.7	0	159.4	3435	1	1649	0	0	1
53863	17674.8	16375.3	14.5	0	176.2	3453	1	592	0	0	1
53979	18013.1	16865.2	11.1	0	184.8	3460	1	1518	0	0	1
55767	17348.8	16893.1	17.6	0	155.8	3566	1	345	0	0	1
56194	17635.7	16382	12.2	0	188	3590	1	1880	0	0	1
56879	17483.4	16492.3	30.3	0	186.6	3632	1	312	0	0	1
56901	17539.4	16482.5	19.9	0	166.9	3633	1	390	0	0	1
